run_dir,precision,gpu,resolution,frames,steps,peak_vram_gb,inference_time_s,return_code
20260105_180407_wan_fp16_9f_480x832_s10_offload,FP16,"{'name': 'NVIDIA GeForce RTX 4090', 'driver': '560.35.03', 'cuda': '12.6'}",480x832,9,10,17.16,102.62,0
20260105_180835_wan_torchao_w8a16_9f_480x832_s10_offload,W8A16,"{'name': 'NVIDIA GeForce RTX 4090', 'driver': '560.35.03', 'cuda': '12.6'}",480x832,9,10,13.22,99.77,0
